Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,22n,SM_C_0805,41.91,21.9202,270,top
C3,100n,SM_C_0805,46.0248,20.955,0,top
C4,100n,SM_C_0805,59.055,26.9952,270,top
C5,100n,SM_C_0805,76.835,15.875,0,top
C7,100n,SM_C_0805,78.105,24.13,270,top
C8,100n,SM_C_0805,43.18,2.8498,90,top
C9,22p,SM_C_0805,52.07,18.415,180,top
C10,22p,SM_C_0805,56.8198,18.415,0,top
D2,LED0,SM0805_LED,77.724,8.03402,180,top
R2,4k7,SM0805,48.5648,31.75,90,top
R3,4k7,SM0805,44.7548,31.75,90,top
R4,470,SM0805,67.945,12.4002,0,top
R5,10k,SM0805,42.545,15.494,90,top
R6,10k,SM0805,73.025,30.8102,0,top
R7,10k,SM0805,70.485,30.8102,0,top
R8,100k,SM0805,45.72,27.6098,180,top
R9,100k,SM0805,53.34,30.8102,0,top
R10,10k,SM0805,53.34,26.9748,180,top
R11,4M7,SM0805,46.0198,23.495,90,top
SW1,SWA,SMD_SW_6x3_5,72.263,8.89,270,top
SW2,RST,SMD_SW_6x3_5,42.5196,9.398,270,top
U1,TSV911xxLx,SM_SOT-23-5,64.135,26.67,90,top
U2,TSV911xxLx,SM_SOT-23-5,50.96,27.625,90,top
U4,ATmega328P-AU,TQFP32-08,70.485,22.225,0,top
Y1,8MHz_XTAL,SM-crystal-HC49UP,56.261,22.225,0,top
